Pole ID,Pole Latitude,Pole Longitude,Pole Type
CHAPAIS 6E PHA14, 49.7814575,-74.8584441,Generic wooden pole
CHAPAIS 2E PHA14, 49.7814575,-74.8584441,Generic wooden pole
CHAPAIS 6E PHA6, 49.7817330,-74.8590882,Generic wooden pole
CHAPAIS 6E PTA24, 49.7810189,-74.8564343,Generic wooden pole
CHAPAIS 7E PTA24, 49.7810189,-74.8564343,Generic wooden pole
CHAPAIS 2E PTA24, 49.7810189,-74.8564343,Generic wooden pole
CHAPAIS 7E PTA34, 49.7807660,-74.8555191,Generic wooden pole
CHAPAIS 3E PTA34, 49.7807660,-74.8555191,Generic wooden pole
CHAPAIS 2E PHC30, 49.7819788,-74.8569429,Generic wooden pole
CHAPAIS SPRINGER PHC30, 49.7819788,-74.8569429,Generic wooden pole
CHAPAIS 6E PHC30, 49.7819788,-74.8569429,Generic wooden pole
CHAPAIS SPRINGER PHA33, 49.7815583,-74.8554342,Generic wooden pole
CHAPAIS 3E PHA33, 49.7815583,-74.8554342,Generic wooden pole
CHAPAIS 6E PHA33, 49.7815583,-74.8554342,Generic wooden pole
CHAPAIS SPRINGER PHA9, 49.7823902,-74.8584505,Generic wooden pole
CHAPAIS 6E PHA9, 49.7823902,-74.8584505,Generic wooden pole
CHAPAIS SPRINGER PHO36, 49.7827269,-74.8598248,Generic wooden pole
CHAPAIS 1RE PHO36, 49.7827269,-74.8598248,Generic wooden pole
CHAPAIS 1RE PHD51, 49.7826869,-74.8599631,Generic wooden pole
CHAPAIS 1RE PTA35, 49.7842376,-74.8594923,Generic wooden pole
CHAPAIS 1RE PTA25, 49.7851057,-74.8590736,Generic wooden pole
CHAPAIS 1RE PTA9, 49.7863309,-74.8584961,Generic wooden pole
CHAPAIS 1RE PHC1, 49.7875414,-74.8576652,Generic wooden pole
CHAPAIS 5E PHO41, 49.7781566,-74.8526017,Generic wooden pole
CHAPAIS 9E PHO41, 49.7781566,-74.8526017,Generic wooden pole
CHAPAIS 9E PHA85, 49.7775087,-74.8502896,Generic wooden pole
CHAPAIS 8E PHA59, 49.7784117,-74.8531874,Generic wooden pole
CHAPAIS 9E PHA59, 49.7784117,-74.8531874,Generic wooden pole
CHAPAIS 8E PTA53, 49.7786728,-74.8541322,Generic wooden pole
CHAPAIS 9E PTA53, 49.7786728,-74.8541322,Generic wooden pole
CHAPAIS 8E PTA43, 49.7789497,-74.8551464,Generic wooden pole
CHAPAIS 3E PTA43, 49.7789497,-74.8551464,Generic wooden pole
CHAPAIS 9E PTA43, 49.7789497,-74.8551464,Generic wooden pole
CHAPAIS 7E PTA51, 49.7793854,-74.8536475,Generic wooden pole
CHAPAIS 8E PTA51, 49.7793854,-74.8536475,Generic wooden pole
CHAPAIS 5E PTA61, 49.7791328,-74.8527133,Generic wooden pole
CHAPAIS 7E PTA61, 49.7791328,-74.8527133,Generic wooden pole
CHAPAIS 8E PTA61, 49.7791328,-74.8527133,Generic wooden pole
CHAPAIS 3E PHD43, 49.7800943,-74.8543656,Generic wooden pole
CHAPAIS 7E PHD43, 49.7800943,-74.8543656,Generic wooden pole
CHAPAIS 4E PHD31, 49.7800653,-74.8535477,Generic wooden pole
CHAPAIS 7E PHD31, 49.7800653,-74.8535477,Generic wooden pole
CHAPAIS 6E PHD31, 49.7800653,-74.8535477,Generic wooden pole
CHAPAIS SPRINGER PHA57, 49.7806767,-74.8521968,Generic wooden pole
CHAPAIS 6E PHA57, 49.7806767,-74.8521968,Generic wooden pole
CHAPAIS SPRINGER PHA73, 49.7801539,-74.8503386,Generic wooden pole
CHAPAIS 6E PHA73, 49.7801539,-74.8503386,Generic wooden pole
CHAPAIS SPRINGER PHA159, 49.7815670,-74.8518004,Generic wooden pole
CHAPAIS 5E PHA159, 49.7815670,-74.8518004,Generic wooden pole
CHAPAIS SPRINGER PHA167, 49.7813031,-74.8511749,Generic wooden pole
CHAPAIS 5E PHA167, 49.7813031,-74.8511749,Generic wooden pole
CHAPAIS SPRINGER PHA175, 49.7809579,-74.8495575,Generic wooden pole
CHAPAIS 5E PHA175, 49.7809579,-74.8495575,Generic wooden pole
CHAPAIS 2E PHA175, 49.7809579,-74.8495575,Generic wooden pole
CHAPAIS DU ROND POINT PHO60+1, 49.7827781,-74.8517678,Generic wooden pole
CHAPAIS 4E PHA67, 49.7827579,-74.8511485,Generic wooden pole
CHAPAIS 2E PHA77, 49.7834422,-74.8506992,Generic wooden pole
CHAPAIS 5E PHA77, 49.7834422,-74.8506992,Generic wooden pole
CHAPAIS 4E PHA77, 49.7834422,-74.8506992,Generic wooden pole
CHAPAIS 2E PHA53, 49.7844518,-74.8502673,Generic wooden pole
CHAPAIS 1RE PHA53, 49.7844518,-74.8502673,Generic wooden pole
CHAPAIS 2E PHA81, 49.7840112,-74.8489096,Generic wooden pole
CHAPAIS 2E PHA56, 49.7826811,-74.8492608,Generic wooden pole
CHAPAIS 6E PHA56, 49.7826811,-74.8492608,Generic wooden pole
CHAPAIS 5E PHA62, 49.7819477,-74.8489229,Generic wooden pole
